member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,recoveries,collection_recovery_fee,last_pymnt_amnt,last_credit_pull_d,collections_12_mths_ex_med,application_type,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim
1296599,5000.0,5000.0,4975.0, 36 months,10.65,162.87,B,B2,10+ years,RENT,24000.0,Verified,Dec-2011,Fully Paid,n,credit_card,AZ,27.65,0.0,1.0,3.0,0.0,13648.0,83.7,9.0,f,0.0,0.0,5861.07141425,5831.78,0.0,0.0,171.62,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1314167,2500.0,2500.0,2500.0, 60 months,15.27,59.83,C,C4,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,n,car,GA,1.0,0.0,5.0,3.0,0.0,1687.0,9.4,4.0,f,0.0,0.0,1008.71,1008.71,117.08,1.11,119.66,Sep-2013,0.0,INDIVIDUAL,0.0,,,
1313524,2400.0,2400.0,2400.0, 36 months,15.96,84.33,C,C5,10+ years,RENT,12252.0,Not Verified,Dec-2011,Fully Paid,n,small_business,IL,8.72,0.0,2.0,2.0,0.0,2956.0,98.5,10.0,f,0.0,0.0,3003.65364445,3003.65,0.0,0.0,649.91,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1277178,10000.0,10000.0,10000.0, 36 months,13.49,339.31,C,C1,10+ years,RENT,49200.0,Source Verified,Dec-2011,Fully Paid,n,other,CA,20.0,0.0,1.0,10.0,0.0,5598.0,21.0,37.0,f,0.0,0.0,12226.3022123,12226.3,0.0,0.0,357.48,Jan-2015,0.0,INDIVIDUAL,0.0,,,
1311748,3000.0,3000.0,3000.0, 60 months,12.69,67.79,B,B5,1 year,RENT,80000.0,Source Verified,Dec-2011,Current,n,other,OR,17.94,0.0,0.0,15.0,0.0,27783.0,53.9,38.0,f,766.9,766.9,3242.17,3242.17,0.0,0.0,67.79,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1311441,5000.0,5000.0,5000.0, 36 months,7.9,156.46,A,A4,3 years,RENT,36000.0,Source Verified,Dec-2011,Fully Paid,n,wedding,AZ,11.2,0.0,3.0,9.0,0.0,7963.0,28.3,12.0,f,0.0,0.0,5631.37775318,5631.38,0.0,0.0,161.03,Sep-2015,0.0,INDIVIDUAL,0.0,,,
1304742,7000.0,7000.0,7000.0, 60 months,15.96,170.08,C,C5,8 years,RENT,47004.0,Not Verified,Dec-2011,Current,n,debt_consolidation,NC,23.51,0.0,1.0,7.0,0.0,17726.0,85.6,11.0,f,1889.15,1889.15,8136.84,8136.84,0.0,0.0,170.08,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1288686,3000.0,3000.0,3000.0, 36 months,18.64,109.43,E,E1,9 years,RENT,48000.0,Source Verified,Dec-2011,Fully Paid,n,car,CA,5.35,0.0,2.0,4.0,0.0,8221.0,87.5,4.0,f,0.0,0.0,3938.14433376,3938.14,0.0,0.0,111.34,Dec-2014,0.0,INDIVIDUAL,0.0,,,
1306957,5600.0,5600.0,5600.0, 60 months,21.28,152.39,F,F2,4 years,OWN,40000.0,Source Verified,Dec-2011,Charged Off,n,small_business,CA,5.55,0.0,2.0,11.0,0.0,5210.0,32.6,13.0,f,0.0,0.0,646.02,646.02,189.06,2.09,152.39,Aug-2012,0.0,INDIVIDUAL,0.0,,,
1306721,5375.0,5375.0,5350.0, 60 months,12.69,121.45,B,B5,< 1 year,RENT,15000.0,Verified,Dec-2011,Charged Off,n,other,TX,18.08,0.0,0.0,2.0,0.0,9279.0,36.5,3.0,f,0.0,0.0,1476.19,1469.34,269.29,2.52,121.45,Mar-2013,0.0,INDIVIDUAL,0.0,,,
1305201,6500.0,6500.0,6500.0, 60 months,14.65,153.45,C,C3,5 years,OWN,72000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,AZ,16.12,0.0,2.0,14.0,0.0,4032.0,20.6,23.0,f,0.0,0.0,7677.52,7677.52,0.0,0.0,1655.54,Dec-2015,0.0,INDIVIDUAL,0.0,,,
1305008,12000.0,12000.0,12000.0, 36 months,12.69,402.54,B,B5,10+ years,OWN,75000.0,Source Verified,Dec-2011,Fully Paid,n,debt_consolidation,CA,10.78,0.0,0.0,12.0,0.0,23336.0,67.1,34.0,f,0.0,0.0,13943.08,13943.08,0.0,0.0,6315.3,Aug-2013,0.0,INDIVIDUAL,0.0,,,
1298717,9000.0,9000.0,9000.0, 36 months,13.49,305.38,C,C1,< 1 year,RENT,30000.0,Source Verified,Dec-2011,Charged Off,n,debt_consolidation,VA,10.08,0.0,1.0,4.0,0.0,10452.0,91.7,9.0,f,0.0,0.0,2270.7,2270.7,444.3,4.16,305.38,Nov-2012,0.0,INDIVIDUAL,0.0,,,
1304956,3000.0,3000.0,3000.0, 36 months,9.91,96.68,B,B1,3 years,RENT,15000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,IL,12.56,0.0,2.0,11.0,0.0,7323.0,43.1,11.0,f,0.0,0.0,3478.98191538,3478.98,0.0,0.0,102.43,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1303503,10000.0,10000.0,10000.0, 36 months,10.65,325.74,B,B2,3 years,RENT,100000.0,Source Verified,Dec-2011,Charged Off,n,other,CA,7.06,0.0,2.0,14.0,0.0,11997.0,55.5,29.0,f,0.0,0.0,7471.99,7471.99,645.1,6.3145,325.74,Mar-2014,0.0,INDIVIDUAL,0.0,,,
1304871,1000.0,1000.0,1000.0, 36 months,16.29,35.31,D,D1,< 1 year,RENT,28000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,MO,20.31,0.0,1.0,11.0,0.0,6524.0,81.5,23.0,f,0.0,0.0,1270.1711062000004,1270.17,0.0,0.0,36.32,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1299699,10000.0,10000.0,10000.0, 36 months,15.27,347.98,C,C4,4 years,RENT,42000.0,Not Verified,Dec-2011,Fully Paid,n,home_improvement,CA,18.6,0.0,2.0,14.0,0.0,24043.0,70.2,28.0,f,0.0,0.0,12519.2604496,12519.26,0.0,0.0,370.46,Apr-2015,0.0,INDIVIDUAL,0.0,,,
1304884,3600.0,3600.0,3600.0, 36 months,6.03,109.57,A,A1,10+ years,MORTGAGE,110000.0,Not Verified,Dec-2011,Fully Paid,n,major_purchase,CT,10.52,0.0,0.0,20.0,0.0,22836.0,16.0,42.0,f,0.0,0.0,3785.02,3785.02,0.0,0.0,583.45,May-2014,0.0,INDIVIDUAL,0.0,,,
1294539,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,1 year,MORTGAGE,84000.0,Verified,Dec-2011,Fully Paid,n,medical,UT,18.44,2.0,0.0,4.0,0.0,0.0,37.73,14.0,f,0.0,0.0,7164.4998522,7164.5,0.0,0.0,16.98,Jul-2015,0.0,INDIVIDUAL,0.0,,,
1304855,9200.0,9200.0,9200.0, 36 months,6.03,280.01,A,A1,6 years,RENT,77385.19,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,CA,9.86,0.0,0.0,8.0,0.0,7314.0,23.1,28.0,f,0.0,0.0,9459.96,9459.96,0.0,0.0,8061.1,Jul-2012,0.0,INDIVIDUAL,0.0,,,
1284848,20250.0,20250.0,19142.1610771, 60 months,15.27,484.63,C,C4,3 years,RENT,43370.0,Verified,Dec-2011,Fully Paid,n,debt_consolidation,TX,26.53,0.0,3.0,8.0,0.0,17813.0,85.6,22.0,f,0.0,0.0,27663.042671,25417.68,0.0,0.0,6024.09,Dec-2015,0.0,INDIVIDUAL,0.0,,,
1269083,21000.0,21000.0,21000.0, 36 months,12.42,701.73,B,B4,10+ years,RENT,105000.0,Verified,Dec-2011,Charged Off,n,debt_consolidation,FL,13.22,0.0,0.0,7.0,0.0,32135.0,90.3,38.0,f,0.0,0.0,14025.4,14025.4,0.0,0.0,701.73,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1304821,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,10+ years,OWN,50000.0,Source Verified,Dec-2011,Fully Paid,n,credit_card,TX,11.18,0.0,0.0,8.0,0.0,10056.0,82.4,21.0,f,0.0,0.0,11902.5615747,11902.56,0.0,0.0,349.21,Jan-2016,0.0,INDIVIDUAL,0.0,,,
1304810,10000.0,10000.0,10000.0, 36 months,11.71,330.76,B,B3,5 years,RENT,50000.0,Not Verified,Dec-2011,Fully Paid,n,debt_consolidation,CA,16.01,0.0,0.0,6.0,0.0,17800.0,91.8,17.0,f,0.0,0.0,11536.31,11536.31,0.0,0.0,4942.63,Mar-2014,0.0,INDIVIDUAL,0.0,,,
1304634,6000.0,6000.0,6000.0, 36 months,11.71,198.46,B,B3,1 year,RENT,76000.0,Not Verified,Dec-2011,Charged Off,n,major_purchase,CA,2.4,0.0,1.0,7.0,0.0,5963.0,29.7,7.0,f,0.0,0.0,2050.14,2050.14,269.31,2.57,198.46,Mar-2013,0.0,INDIVIDUAL,0.0,,,
1273773,15000.0,15000.0,15000.0, 36 months,9.91,483.38,B,B1,2 years,MORTGAGE,92000.0,Verified,Dec-2011,Fully Paid,n,credit_card,IL,29.44,0.0,0.0,8.0,0.0,13707.0,93.9,31.0,f,0.0,0.0,15823.48,15823.48,0.0,0.0,2447.05,Sep-2012,0.0,INDIVIDUAL,0.0,,,
1304679,15000.0,15000.0,8725.0, 36 months,14.27,514.64,C,C2,9 years,RENT,60000.0,Not Verified,Dec-2011,Charged Off,n,debt_consolidation,NY,15.22,0.0,1.0,7.0,0.0,5872.0,57.6,11.0,f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jan-2016,0.0,INDIVIDUAL,0.0,,,
